00099,ALUMINUM FISH NET FRAME,99,0,,DONOVAN
00100,PUSH STICK - ALUMINUM SHORT,,0,,IMPORT
00101,PUSH STICK - ALUMINUM LONG ,35,0,,IMPORT
00102,TRYNET HOOK S/S,35,0,,IMPORT
00103,CULLING RAKE,8.5,0,,IMPORT
00104,FISH EYE - ALUMINUM,32,0,,IMPORT
00105,SHACKLE L/R - 3/8',1.5,0,,SAMCO
00106,SHACKLE L/R - 7/16',2.2,0,,SAMCO
00107,SHACKLE L/R - 1/2',2.8,0,,SAMCO
00108,SHACKLE L/R - 7/8',16,0,,SAMCO
00109,SWIVEL GALV 1/4',1.5,0,,SAMCO
00110,SWIVEL GALV 3/8',4,0,,SAMCO
00111,SWIVEL GALV 5/8',10,0,,SAMCO
00112,SWIVEL GALV 3/4',14,0,,SAMCO
00113,SWIVEL GALV 7/8',21,0,,SAMCO
00114,SWIVEL GALV 1',24,0,,SAMCO
00115,SWIVEL S/S - 1/4',5,0,,SAMCO
00116,SWIVEL S/S - 3/8',9,0,,SAMCO
00117,SWIVEL S/S - 1/2',16,0,,SAMCO
00118,SWIVEL S/S - 5/8',21,0,,SAMCO
00119,SWIVEL S/S - 7/16',12,0,,SAMCO
00120,CABLE CLAMP  -  S/S - 5/16',4,0,,SAMCO
00121,CABLE CLAMP  -  S/S - 3/8',5,0,,SAMCO
00122,CABLE CLAMP  -  S/S - 7/16',8,0,,SAMCO
00123,CABLE CLAMP  -  S/S - 7/8',18,0,,SAMCO
00124,CABLE CLAMP  -  S/S - 1',14.3,0,,SAMCO
00125,SNAP HOOK S/S - 3/16',,0,,SAMCO
00126,SNAP HOOK S/S - 3/8',7,0,,SAMCO
00127,SNAP HOOK S/S - 1/2',12,0,,SAMCO
00128,SNAP HOOK S/S - 9/16',14,0,,SAMCO
00129,QUICKLINK S/S - 3/8',7,0,,SAMCO
00130,QUICKLINK S/S - 1/2',12,0,,SAMCO
00131,QUICKLINK S/S - 5/8',15,0,,SAMCO
00132,COPPER SLEEVE - 1/4',2,0,,SSC
00133,COPPER SLEEVE - 3/8',4.5,0,,SSC
00134,ALUMINUM SLEEVE,,0,,IMPORT
00135,COPPER SLEEVE - 5/16',3.5,0,,SSC
00136,CHAIN HOLDER  -  S/S - 1/2',20,0,,IMPORT
00137,QUICKLINK S/S - 1/4',5,0,,SAMCO
00138,PELICAN HOOK GALV - 5/8',25,0,,?
00139,TURNBUCKLE S/S JAW TO JAW- 1/4',,0,,SAMCO
00140,TURNBUCKLE S/S EYE TO EYE - 1/2',15,0,,SAMCO
00141,TURNBUCKLE S/S EYE TO EYE - 3/4',,0,,SAMCO
00142,RING S/S - 1/4',,0,,SAMCO
00143,RING S/S - 1/2' X 5',,0,,SAMCO
00144,RING GALV - 1/2' X 5',,0,,SAMCO
00145,RING S/S - 5/8'X6',,0,,SAMCO
00146,RING GALV - 5X8' X 6',,0,,SAMCO
00147,SWIVEL S/S - 1',56,0,,SAMCO
00148,S HOOK - GALV,,0,,SAMCO
00149,HOOK GALVANIZED 5/8',10,0,,SSC
00150,HOOK GALVANIZED 7/8',21,0,,SSC
00151,HOOK GALVANIZED 1.1/8',32,0,,SSC
00152,HOOK S/S - 5/8',15,0,,SSC
00153,HOOK S/S - 9/16',,0,,SSC
00154,HOOK S/S - 7/8',24,0,,SSC
00155,HOOK S/S - 1.1/8',42,0,,SSC
00156,HOOK S/S - 1.3/8',,0,,SSC
00157,THIMBLE GALV - 3/8',0.75,0,,SAMCO
00201,45 BL-110 5FT IDN VAPOR THERMOMETER,145,1,,
00202,505 BUSHING - 5' THIN,120,0,,IMPORT
00203,505 BUSHING - 7' THICK,185,50,,IMPORT
00204,505 BUSHING - 7' THIN,160,0,,IMPORT
